adj_thresh,num_nodes,num_edges,avg_degree,density,number_connected_components
1.0,7287,1,0.0002744613695622341,3.766969112849768e-08,7286
0.99,7287,15,0.004116920543433511,5.650453669274652e-07,7272
0.98,7287,41,0.011252916152051599,1.544457336268405e-06,7247
0.97,7287,81,0.022231370934540962,3.0512449814083124e-06,7213
0.96,7287,141,0.03869905310827501,5.311426449118173e-06,7173
0.95,7287,214,0.0587347330863181,8.061313901498505e-06,7124
0.94,7287,409,0.11225470015095375,1.5406903671555552e-05,7038
0.93,7287,717,0.19678880197612186,2.7009168539132837e-05,6949
0.92,7287,1150,0.3156305749965692,4.3320144797772336e-05,6858
0.91,7287,1788,0.4907369287772746,6.735340773775386e-05,6755
0.9,7287,2670,0.7328118567311651,0.00010057807531308881,6625
0.89,7287,3931,1.0789076437491423,0.0001480795558261244,6519
0.88,7287,5485,1.505420612048854,0.00020661825583980978,6416
0.87,7287,7571,2.0779470289556743,0.00028519723153385594,6296
0.86,7287,10089,2.76904075751338,0.0003800495137954131,6145
0.85,7287,13121,3.601207630026074,0.0004942640172970181,5971
0.84,7287,16806,4.6125977768629065,0.0006330768291055321,5828
0.83,7287,21253,5.833127487306162,0.0008005939455539612,5671
0.82,7287,26188,7.187594346095787,0.0009864938712730973,5525
0.81,7287,32280,8.859613009468918,0.0012159776296279052,5368
0.8,7287,39236,10.768766296143818,0.001478008001117735,5190
0.79,7287,47327,12.989433237271854,0.0017827934720384098,5032
0.78,7287,56475,15.500205846027171,0.0021273958064819067,4875
0.77,7287,66626,18.28626320845341,0.0025097808411272864,4702
0.76,7287,78041,21.41923974200631,0.0029397803653590875,4530
0.75,7287,90737,24.90380128996844,0.003418034763926494,4364
0.74,7287,104720,28.741594620557155,0.003944770054976277,4199
0.73,7287,120146,32.97543570742418,0.004525862710324483,4023
0.72,7287,137417,37.71565802113353,0.005176455945804766,3823
0.71,7287,156475,42.946342802250584,0.005894364919331675,3658
0.7,7287,177681,48.76657060518732,0.006693188389402597,3467
0.69,7287,201060,55.18320296418279,0.007573868098295744,3292
0.68,7287,227209,62.36009331686565,0.00855889285161483,3093
0.67,7287,256362,70.36146562371346,0.009657077357083923,2921
0.66,7287,288586,79.20570879648689,0.010870945484008632,2727
0.65,7287,324264,88.99794153972829,0.012214924724091173,2559
0.64,7287,364560,100.05763688760807,0.013732862597805115,2389
0.63,7287,408956,112.24262385069302,0.015405246205145898,2243
0.62,7287,457900,125.675861122547,0.01724895156773909,2082
0.61,7287,512018,140.529161520516,0.019287559912231127,1922
0.6,7287,571967,156.98284616440236,0.021545820225693433,1768
0.59,7287,637434,174.95100864553314,0.024011941894802793,1597
0.58,7287,708558,194.4717990942775,0.026691161006626062,1436
0.57,7287,786513,215.86743515850145,0.029627701778548097,1315
0.56,7287,871071,239.07533964594484,0.032812975520991605,1177
0.55,7287,962790,264.2486620008234,0.036268001921606285,1048
0.54,7287,1062020,291.4834637024839,0.04000596537228711,913
0.53,7287,1168818,320.79538904899135,0.0440290130454284,800
0.52,7287,1284748,352.61369562234114,0.04839606033795514,692
0.51,7287,1409128,386.75120076849186,0.053081416520517684,594
0.5,7287,1541526,423.0893371757925,0.05806880828654852,497
0.49,7287,1684416,462.30712227254014,0.06345143045189955,424
0.48,7287,1838102,504.48799231508167,0.06924073460267385,361
0.47,7287,2001825,549.4236311239193,0.07540812944330487,302
0.46,7287,2178265,597.8495951694799,0.082054569746017,252
0.45,7287,2367235,649.7145601756553,0.0891730112785692,219
0.44,7287,2569810,705.3135721147248,0.09680394895892463,178
0.43,7287,2787082,764.9463428022506,0.10498851808979558,146
0.42,7287,3020411,828.9861397008372,0.11377794945111681,123
0.41,7287,3269626,897.3860299162893,0.12316580152570536,102
0.4,7287,3538218,971.1041580897489,0.13328357920529083,74
0.39,7287,3825498,1049.9514203375875,0.14410532807268564,66
0.38,7287,4134440,1134.7440647728831,0.15574307778930596,55
0.37,7287,4465669,1225.6536297516125,0.16822037191210712,42
0.36,7287,4821358,1323.276519829834,0.18161906667991132,34
0.35,7287,5204619,1428.4668587896253,0.19605639017151047,28
0.34,7287,5614838,1541.0561273500755,0.21150921319655167,24
