adj_thresh,num_nodes,num_edges,avg_degree,density,number_connected_components
1.0,7287,1,0.0002744613695622341,3.766969112849768e-08,7286
0.99,7287,21,0.005763688760806916,7.910635136984513e-07,7266
0.98,7287,49,0.013448607108549471,1.8458148652963864e-06,7239
0.97,7287,101,0.027720598325785644,3.804638803978266e-06,7195
0.96,7287,180,0.04940304652120214,6.780544403129583e-06,7144
0.95,7287,367,0.10072732262933992,1.3824776644158649e-05,7057
0.94,7287,740,0.20310141347605323,2.7875571435088284e-05,6954
0.93,7287,1266,0.34746809386578836,4.768982896867807e-05,6858
0.92,7287,2038,0.5593522711678331,7.677083051987828e-05,6741
0.91,7287,3167,0.8692191574035955,0.00011929991180395216,6611
0.9,7287,4723,1.2962810484424316,0.00017791395119989457,6501
0.89,7287,6729,1.8468505557842734,0.00025347935160366093,6395
0.88,7287,9272,2.5448058185810347,0.0003492733761434305,6241
0.87,7287,12297,3.375051461506793,0.000463224191807136,6086
0.86,7287,16049,4.404830520104295,0.0006045608729212593,5934
0.85,7287,20543,5.638259914916976,0.0007738484648527279,5783
0.84,7287,25623,7.032523672293125,0.0009652104957854961,5641
0.83,7287,31764,8.717990942774804,0.0011965400690056003,5477
0.82,7287,38863,10.666392205297104,0.0014639572063268054,5317
0.81,7287,46843,12.856593934403733,0.001764561341532217,5155
0.8,7287,55946,15.35501578152875,0.002107468539874931,4969
0.79,7287,66380,18.2187457115411,0.0025005140971096763,4810
0.78,7287,77612,21.301495814464115,0.002923620067864962,4612
0.77,7287,89950,24.68780019212296,0.0033883887170083667,4469
0.76,7287,103784,28.484698778646905,0.003909511224080004,4306
0.75,7287,118605,32.552490736928775,0.0044678137162954676,4144
0.74,7287,134933,37.03389597914094,0.005082884433041578,3988
0.73,7287,152672,41.90256621380541,0.005751107083969999,3817
0.72,7287,171801,47.152737752161386,0.00647169060556703,3633
0.71,7287,192628,52.868944696034035,0.007256237262700252,3476
0.7,7287,215164,59.054206120488544,0.008105161421972075,3325
0.69,7287,239335,65.6882118841773,0.009015675526238992,3153
0.68,7287,265257,72.80279950596953,0.00999214925967191,3014
0.67,7287,293091,80.44215726636476,0.011040647442542514,2857
0.66,7287,323228,88.71359956086181,0.01217589892408205,2697
0.65,7287,355496,97.56991903389599,0.013391424517416413,2577
0.64,7287,389808,106.98723754631536,0.014683946959417426,2442
0.63,7287,426605,117.08659256209688,0.016070078583872754,2286
0.62,7287,465868,127.86276931521888,0.01754910366665096,2126
0.61,7287,507762,139.36105393165911,0.01912723770678824,1969
0.6,7287,551956,151.4905996980925,0.020792012036521066,1817
0.59,7287,599052,164.41663235899546,0.022566103809908793,1674
0.58,7287,649075,178.1460134486071,0.024450454769229635,1547
0.57,7287,702100,192.69932756964457,0.026447890141318223,1408
0.56,7287,757926,208.02140798682586,0.028550838318257735,1267
0.55,7287,817324,224.32386441608344,0.03078834263190824,1143
0.54,7287,880031,241.53451351722245,0.033150495953502945,1029
0.53,7287,946395,259.74886784685054,0.035650407335554565,927
0.52,7287,1016484,278.98559077809796,0.03829063831705984,822
0.51,7287,1090062,299.17990942774804,0.04106229885091244,714
0.5,7287,1168119,320.6035405516674,0.044002681931329585,625
0.49,7287,1249462,342.9290517359682,0.04706684761679497,542
0.48,7287,1335303,366.4890901605599,0.05030045157295634,463
0.47,7287,1425144,391.1469740634006,0.0536847342936317,378
0.46,7287,1519912,417.15712913407435,0.05725461558249717,324
0.45,7287,1619002,444.35350624399615,0.060987305276420004,279
0.44,7287,1723012,472.9002332921641,0.06490532985069505,231
0.43,7287,1831438,502.6589817483189,0.06898970378099353,195
0.42,7287,1945232,533.8910388362838,0.0732762886132698,157
0.41,7287,2064200,566.5431590503637,0.07775777642744491,130
0.4,7287,2188072,600.5412378207767,0.08242399640691418,112
0.39,7287,2317812,636.149855907781,0.08731126213392547,90
0.38,7287,2452917,673.2309592424866,0.09240062575384116,70
0.37,7287,2594938,712.2102374090847,0.09775051295760152,59
0.36,7287,2742475,752.703444490188,0.10330818617762669,53
0.35,7287,2896521,794.9831206257719,0.10911105141720724,45
0.34,7287,3057675,839.2136681762042,0.11518167282132916,33
0.33,7287,3225089,885.1623439000961,0.12148810649191547,23
0.32,7287,3400211,933.2265678605736,0.12808489814172022,18
0.31,7287,3582731,983.3212570330726,0.13496037016649362,14
0.3,7287,3773225,1035.6045011664608,0.14213622030832568,9
0.29,7287,3971419,1090.0010978454782,0.14960212707184714,6
0.28,7287,4177805,1146.6460820639495,0.15737662394509327,5
0.27,7287,4392812,1205.6571977494168,0.16547587122555815,2
0.26,7287,4616431,1267.031974749554,0.1738995298860217,2
0.25,7287,4849139,1330.9013311376423,0.18266556836915213,2
0.24,7287,5091030,1397.2910662824208,0.19177752762591554,1
